dataset,split,beta,algorithm,seed,rounds,best_acc,best_round,last_acc,time,comm,comm_time,energy,model,epochs,lr,num_users,client_selection,run_timestamp,run_id,matched_log,output_path
cifar100,beta0.01,0.01,AutoRL_DFL_MM,1,200,27.700000762939453,157,16.135000228881836,7030.722095380522,8124.221866607666,1587.2592507591198,145527.24775353426,resnet8,200,0.01,10,autorl,2026_05_22_19_20_28,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_19_20_28_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_151436/seed1_beta0p01_autorl.log,output/5/0.01/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_19_20_28_numuser10_clientSelection_autorl
cifar100,beta0.01,0.01,AutoRL_DFL_MM,1024,200,27.020000457763672,147,14.244999885559082,7304.505699439379,8086.346706390381,1845.640980506259,155388.14997723026,resnet8,200,0.01,10,autorl,2026_05_22_14_17_15,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_14_17_15_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_094529/seed1024_beta0p01_autorl.log,output/5/0.01/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_14_17_15_numuser10_clientSelection_autorl
cifar100,beta0.01,0.01,AutoRL_DFL_MM,42,200,29.530000686645508,140,15.164999961853027,6466.880787540289,8218.909767150879,1872.565311287552,146724.3438571246,resnet8,200,0.01,10,autorl,2026_05_22_05_57_24,AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_05_57_24_numuser10_clientSelection_autorl,logs/cifar100_lowbeta_seed42_1024_20260522_005840/seed42_beta0p01_autorl.log,output/5/0.01/test_acc_AutoRL_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_05_57_24_numuser10_clientSelection_autorl
cifar100,beta0.01,0.01,DFL,1,200,11.84299988746643,195,10.330999898910523,6844.351684804229,3333.0140991210938,871.0040140817783,134267.77632682974,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_50_49,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_50_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p01_DFL.log,output/5/0.01/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_50_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFL,1024,200,11.164000129699707,165,9.55600004196167,7714.38542482903,3257.2637786865234,833.3502544747714,140537.01999508156,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_57_13,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_57_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_mixed_20260525_111637_20260525_111639/seed1024_beta0p01_DFL.log,output/5/0.01/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_57_13_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFL,42,200,11.736000108718873,196,10.772000122070313,6592.812230281981,3333.0140991210938,824.6590910906987,131077.45077212315,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_13_56_20,DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_56_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed42_beta0p01_DFL.log,output/5/0.01/test_acc_DFL_cifar100_resnet8_200_lr0.01_2026_05_25_13_56_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFL_MM,1,200,16.200000286102295,196,15.389999866485596,7090.02653023169,15126.28173828125,1703.1891914250896,146992.58944258714,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_23_04_03_07,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_04_03_07_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_dfl_retry_20260523_001340/seed1_beta0p01_dflmm.log,output/5/0.01/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_23_04_03_07_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFL_MM,1024,200,15.190000057220459,183,13.550000190734863,7322.806328046116,15126.28173828125,1665.8399975295358,153697.89849500667,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_22_18_25_19,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_18_25_19_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_seed42_1024_20260522_094529/seed1024_beta0p01_dflmm.log,output/5/0.01/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_18_25_19_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFL_MM,42,200,17.789999961853027,198,16.119999885559082,7739.389637067402,15126.28173828125,1753.784694419403,148557.05322177027,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_22_10_30_21,DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_10_30_21_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_lowbeta_seed42_1024_20260522_005840/seed42_beta0p01_dflmm.log,output/5/0.01/test_acc_DFL_MM_cifar100_resnet8_200_lr0.01_2026_05_22_10_30_21_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
cifar100,beta0.01,0.01,DFedPGP,1,200,8.746999979019165,192,8.671999979019166,8124.722366485947,3298.546112060547,871.0040140817783,159880.02659850795,resnet8,200,0.01,10,comprehensive_0.8_0.0_0.2,2026_05_25_16_51_46,DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_51_46_numuser10_clientSelection_comprehensive_0.8_0.0_0.2,logs/cifar100_baselines_idle_20260525_111636_20260525_111638/seed1_beta0p01_DFedPGP.log,output/5/0.01/test_acc_DFedPGP_cifar100_resnet8_200_lr0.01_2026_05_25_16_51_46_numuser10_clientSelection_comprehensive_0.8_0.0_0.2
