beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,last_acc,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.5,1,DFL,DFL,cifar10_20260525_143543_seed1_beta0.5_dfl,complete,200,51.20000076293945,162,48.560001373291016,10953.706485273435,7486.345634138421,30262.227779388428,179456.81997441605,8866.328083695902,5977.3020161465065,24221.039096832275,145207.85632839377,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.5_dfl
0.5,1,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1_beta0.5_dfedpgp,complete,200,46.34000015258789,151,36.92499923706055,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,9309.065941884763,5532.733933904055,22452.603649139404,154785.4242129267,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.5_dfedpgp
0.5,1,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1_beta0.5_ldsgd,complete,200,48.25,170,46.040000915527344,8562.013029885866,3042.1879749830823,12420.0835647583,149974.81480641197,7300.480340893436,2525.8553604041995,10431.369277954102,127386.06118232448,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.5_ldsgd
0.1,1,DFL,DFL,cifar10_20260525_143543_seed1_beta0.1_dfl,complete,200,34.05999946594238,196,32.695000648498535,10953.706485273435,7486.345634138421,30262.227779388428,179456.81997441605,10754.787928802658,7318.276526222318,29586.815380096436,175727.85183717762,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.1_dfl
0.1,1,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1_beta0.1_dfedpgp,complete,200,29.545000076293945,155,21.615000247955322,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,9537.5325801638,5701.949895901011,23127.30626296997,158959.95412854347,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.1_dfedpgp
0.1,1,LD_SGD,LD-SGD,cifar10_20260525_143543_seed1_beta0.1_ldsgd,complete,200,33.11999988555908,127,29.94499969482422,8562.013029885866,3042.1879749830823,12420.0835647583,149974.81480641197,5361.627882620253,1800.3407065568565,7448.297847747803,94187.27974099395,,LD_SGD_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.1_ldsgd
0.05,1,DFL_MM,DFL-MM,cifar10_20260525_143543_seed1_beta0.05_dflmm,complete,200,31.335000038146973,176,18.644999980926514,6685.6000812354705,1659.8070810320655,14985.382080078125,146382.76784675513,5902.278880891715,1489.273347427495,13187.13623046875,129188.29355861123,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.05_dflmm
0.05,1,AutoRL_DFL_MM,AutoRL,cifar10_20260525_143543_seed1_beta0.05_autorl,complete,200,30.020000457763672,152,15.990000247955322,6912.215823813101,1859.9490587749492,7767.24259185791,147870.05476867003,5215.329599408629,1456.0040616259532,6303.849060058594,112026.68503378224,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_09_numuser10_clientSelection_autorl_tagcifar10_20260525_143543_seed1_beta0.05_autorl
0.05,1,DFL,DFL,cifar10_20260525_143543_seed1_beta0.05_dfl,complete,200,28.130000114440918,144,27.390000343322754,10953.706485273435,7486.345634138421,30262.227779388428,179456.81997441605,7872.583395899639,5308.127127995562,21594.43532180786,129186.91873982578,,DFL_cifar10_resnet8_200_lr0.01_2026_05_25_14_36_10_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.05_dfl
0.05,1,DFedPGP,DFedPGP,cifar10_20260525_143543_seed1_beta0.05_dfedpgp,complete,200,21.954999923706055,109,12.039999961853027,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,6515.668802404317,3957.766169259198,16117.895774841309,110884.97967857221,,DFedPGP_cifar10_resnet8_200_lr0.01_2026_05_25_15_22_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_20260525_143543_seed1_beta0.05_dfedpgp
