beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.5,1,DFL_MM,DFL-MM,cifar10_missing_20260526_102549_seed1_beta0.5_dflmm,complete,200,60.47500038146973,193,6709.692885732634,1619.5217955009043,14985.382080078125,143710.4889665601,6509.007500287026,1568.0965317994667,14460.89370727539,138725.88089947822,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_missing_20260526_102549_seed1_beta0.5_dflmm
0.5,1,AutoRL_DFL_MM,AutoRL,cifar10_missing_20260526_102549_seed1_beta0.5_autorl,complete,200,59.560001373291016,108,6755.401285397349,2048.6523928931133,8423.893535614014,146777.3690089877,3477.2269883904373,1151.5796741020415,4784.171161651611,78554.07596321481,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_autorl_tagcifar10_missing_20260526_102549_seed1_beta0.5_autorl
0.1,1,DFL_MM,DFL-MM,cifar10_missing_20260526_102549_seed1_beta0.1_dflmm,complete,200,44.19000053405762,175,6540.114226127074,1781.9504671632242,14985.382080078125,146216.0644654008,5668.0096401387,1566.8613527810553,13112.20932006836,127775.83116679832,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_missing_20260526_102549_seed1_beta0.1_dflmm
0.1,1,AutoRL_DFL_MM,AutoRL,cifar10_missing_20260526_102549_seed1_beta0.1_autorl,complete,200,48.135000228881836,200,6881.546101768329,2078.819580131192,8480.17790222168,147806.56136820817,6881.546101768329,2078.819580131192,8480.17790222168,147806.56136820817,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_54_numuser10_clientSelection_autorl_tagcifar10_missing_20260526_102549_seed1_beta0.1_autorl
0.5,42,DFL_MM,DFL-MM,cifar10_missing_20260526_102549_seed42_beta0.5_dflmm,complete,200,56.78000068664551,162,6573.575122506248,1624.162599236607,14985.382080078125,142560.28479498276,5318.212812609308,1317.53964474562,12138.159484863281,115810.22401696844,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_missing_20260526_102549_seed42_beta0.5_dflmm
0.5,42,AutoRL_DFL_MM,AutoRL,cifar10_missing_20260526_102549_seed42_beta0.5_autorl,complete,200,58.97999954223633,122,6822.467676540564,2027.682274800372,8461.416446685791,148900.97156808077,3936.9351895698587,1290.5248618418495,5196.923183441162,89588.90778478926,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_autorl_tagcifar10_missing_20260526_102549_seed42_beta0.5_autorl
0.1,42,DFL_MM,DFL-MM,cifar10_missing_20260526_102549_seed42_beta0.1_dflmm,complete,200,35.94000053405762,196,6829.730978330027,1659.8623656358263,14985.382080078125,145532.49523748673,6726.242995042989,1616.7502939680846,14685.674438476562,143057.97052036985,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_missing_20260526_102549_seed42_beta0.1_dflmm
0.1,42,AutoRL_DFL_MM,AutoRL,cifar10_missing_20260526_102549_seed42_beta0.1_autorl,complete,200,36.93000030517578,180,6655.061718618923,1715.7281612578813,7598.389492034912,144780.54007775712,5837.389082220088,1588.471301971914,7054.307281494141,129914.71593705623,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_10_25_55_numuser10_clientSelection_autorl_tagcifar10_missing_20260526_102549_seed42_beta0.1_autorl
0.5,1024,DFL_MM,DFL-MM,cifar10_missing_20260526_102549_seed1024_beta0.5_dflmm,complete,200,57.375,200,7495.890934559819,1788.353453689595,14985.382080078125,153748.13298033597,7495.890934559819,1788.353453689595,14985.382080078125,153748.13298033597,,DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_11_13_30_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagcifar10_missing_20260526_102549_seed1024_beta0.5_dflmm
0.5,1024,AutoRL_DFL_MM,AutoRL,cifar10_missing_20260526_102549_seed1024_beta0.5_autorl,complete,200,58.19000053405762,194,7694.132299306535,1847.899757471229,8179.994613647461,155692.57427475663,7439.494151134241,1817.3203486399466,7973.618602752686,150905.9826072099,,AutoRL_DFL_MM_cifar10_resnet8_200_lr0.01_2026_05_26_11_13_51_numuser10_clientSelection_autorl_tagcifar10_missing_20260526_102549_seed1024_beta0.5_autorl
