dataset,dataset_label,num_users,method,method_label,seed,beta,rounds,best_acc,best_round,time,comm_MB,comm_time,energy,source_file
cifar10,CIFAR-10,30,AutoRL_DFL_MM,RTDFL(ours),1,0.1,200,31.74333318074544,178,10859.374358238703,23526.865242004395,5332.057495551388,461320.30588787707,logs/client_scaling_20260526_120907/cifar10_clients30/summary_final/summary_runs.csv
cifar10,CIFAR-10,30,DFL_MM,MMDFL,1,0.1,200,27.881666501363117,190,10351.51100763958,44956.146240234375,4734.980547813213,451203.7716348907,logs/client_scaling_20260526_120907/cifar10_clients30/summary_final/summary_runs.csv
cifar10,CIFAR-10,30,DFL,DFL,1,0.1,200,22.14999993642171,172,14359.06181472744,78178.9852180481,18053.696617580255,500405.92956387013,logs/client_scaling_20260526_120907/cifar10_clients30/summary_final/summary_runs.csv
cifar10,CIFAR-10,30,DFedPGP,DFedPGP,1,0.1,200,19.946666558583576,183,16327.542917880912,78096.82755088806,18053.696617580255,579477.9071779638,logs/client_scaling_20260526_120907/cifar10_clients30/summary_final/summary_runs.csv
cifar10,CIFAR-10,30,LD_SGD,LD-SGD,1,0.1,200,21.895000139872234,183,11753.463576663067,31350.39220046997,7135.904628432325,437292.2590572487,logs/client_scaling_20260526_120907/cifar10_clients30/summary_final/summary_runs.csv
cifar10,CIFAR-10,60,AutoRL_DFL_MM,RTDFL(ours),1,0.1,200,30.727499961853027,152,11765.203709142545,50918.590324401855,11887.018115373392,938136.9606534867,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar10,CIFAR-10,60,DFL_MM,MMDFL,1,0.1,200,28.95583375295003,198,11379.040114240772,89912.29248046875,9735.54506066343,921881.0230609936,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar10,CIFAR-10,60,DFL,DFL,1,0.1,200,17.683499987920126,149,11807.048561426613,31369.15365600586,7781.820411794107,845453.7372074141,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar10,CIFAR-10,60,DFedPGP,DFedPGP,1,0.1,200,15.824000072479247,198,13887.242652922207,31336.188064575195,7781.820411794107,1005007.0618351504,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar10,CIFAR-10,60,LD_SGD,LD-SGD,1,0.1,200,16.36666660308838,179,11112.35088954938,13283.11051940918,3242.285645818786,819725.2775590431,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,30,AutoRL_DFL_MM,RTDFL(ours),1,0.1,200,28.37833309173584,198,10565.528560844323,24486.291080474854,5338.764321801141,456264.69329959387,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,30,DFL_MM,MMDFL,1,0.1,200,22.868333498636883,199,10492.766623689915,45378.84521484375,5028.524999187142,457738.5947729948,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,30,DFL,DFL,1,0.1,200,10.429999987284342,196,10931.106071466922,12953.304794311523,3145.6565594311614,413032.89966772776,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,30,DFedPGP,DFedPGP,1,0.1,200,9.047000122070312,199,12919.99264583499,12819.349662780762,3145.6565594311614,492040.35721839365,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,30,LD_SGD,LD-SGD,1,0.1,200,8.992666705449421,178,10392.50366057325,5529.773391723633,1333.6673681581171,403905.7437241493,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,60,AutoRL_DFL_MM,RTDFL(ours),1,0.1,200,21.145000060399372,183,11717.397244751766,52059.40771865845,11577.08264864398,939179.1312082108,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,60,DFL_MM,MMDFL,1,0.1,200,17.760000149408977,187,11558.987737595753,90757.6904296875,10368.786049427861,930315.0169329945,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,60,DFL,DFL,1,0.1,200,9.24483335018158,188,11807.048561426613,31663.63394165039,7781.820411794107,845453.7372074141,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,60,DFedPGP,DFedPGP,1,0.1,200,7.126499986648559,183,13887.242652922207,31336.188064575195,7781.820411794107,1005007.0618351504,logs/result_summaries/cifar_client_scale_seed1_detail.csv
cifar100,CIFAR-100,60,LD_SGD,LD-SGD,1,0.1,200,7.735833350817362,189,11112.35088954938,13407.806716918945,3242.285645818786,819725.2775590431,logs/result_summaries/cifar_client_scale_seed1_detail.csv
TinyImagenet,Tiny-ImageNet,30,AutoRL_DFL_MM,RTDFL(ours),1,0.1,200,18.388333002726238,138,10994.867733475952,25447.254524230957,5597.327005774156,464781.733180141,logs/client_scaling_20260526_120907/TinyImagenet_clients30/summary_final/summary_runs.csv
TinyImagenet,Tiny-ImageNet,30,DFL_MM,MMDFL,1,0.1,200,15.548333168029785,200,10580.07402585254,45848.5107421875,4896.273697441421,453713.73835330136,logs/client_scaling_20260526_120907/TinyImagenet_clients30/summary_final/summary_runs.csv
TinyImagenet,Tiny-ImageNet,30,DFL,DFL,1,0.1,200,11.128333250681559,200,14359.06181472744,79728.35308456421,18053.696617580255,500405.92956387013,logs/client_scaling_20260526_120907/TinyImagenet_clients30/summary_final/summary_runs.csv
TinyImagenet,Tiny-ImageNet,30,DFedPGP,DFedPGP,1,0.1,200,5.880000034968059,195,16327.542917880912,78096.82755088806,18053.696617580255,579477.9071779638,logs/client_scaling_20260526_120907/TinyImagenet_clients30/summary_final/summary_runs.csv
TinyImagenet,Tiny-ImageNet,30,LD_SGD,LD-SGD,1,0.1,200,7.539999961853027,189,11753.463576663067,31971.700984954834,7135.904628432325,437292.2590572487,logs/client_scaling_20260526_120907/TinyImagenet_clients30/summary_final/summary_runs.csv
