beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.5,1,AutoRL_DFL_MM,AutoRL,seed1_beta0.5_autorl,complete,200,31.56999969482422,88,6750.704164691305,1789.1084754675064,8361.240772247314,144704.06030539222,2787.975553717657,857.8628113239732,4037.1208305358887,63503.905936250965,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_19_40_08_numuser10_clientSelection_autorl_tagseed1_beta0.5_autorl
0.5,1,DFL_MM,DFL-MM,seed1_beta0.5_dflmm,complete,200,30.920000076293945,180,7224.874460404166,1631.7201048025872,15282.8369140625,146421.39461346227,6505.932480143369,1448.0406257344023,13754.55322265625,131455.94438655965,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_16_04_15_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dflmm
0.5,1,DFL,DFL,seed1_beta0.5_dfl,complete,200,29.609999656677246,197,10953.706485273435,7486.345634138421,30861.971088409424,179456.81997441605,10824.591467890816,7369.853047805081,30364.505962371826,176731.16685897307,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfl
0.5,1,DFedPGP,DFedPGP,seed1_beta0.5_dfedpgp,complete,200,19.78499984741211,189,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,11560.697658400593,7046.894946784775,28468.701955795288,193646.35425837486,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_dfedpgp
0.5,1,LD_SGD,LD-SGD,seed1_beta0.5_ldsgd,complete,200,22.475000381469727,144,8562.013029885866,3042.1879749830823,12666.227439880371,149974.81480641197,6123.755978599537,2066.7463737725484,8820.439350128174,107028.19886180089,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_15_18_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.5_ldsgd
0.5,42,AutoRL_DFL_MM,AutoRL,seed42_beta0.5_autorl,complete,200,32.130001068115234,107,6963.972012453177,1810.6449316523624,8035.975112915039,146014.79335393154,3539.0765104667034,1023.9036838536898,4687.652149200439,77425.30129587103,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_autorl_tagseed42_beta0.5_autorl
0.5,42,DFL_MM,DFL-MM,seed42_beta0.5_dflmm,complete,200,31.204999923706055,184,6734.630391654495,1746.7979840939713,15282.8369140625,145489.34346402524,6210.948131172543,1599.6301220295609,14060.2099609375,134364.58651612824,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_15_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dflmm
0.5,42,DFL,DFL,seed42_beta0.5_dfl,complete,200,30.054999351501465,196,10442.06414533255,7391.485602080574,30421.905784606934,178454.96571063282,10246.22890624622,7258.443200609756,29809.64101409912,174920.39988133975,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_33_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfl
0.5,42,DFedPGP,DFedPGP,seed42_beta0.5_dfedpgp,complete,200,19.90999984741211,197,11689.918602842798,7391.485602080574,29799.36544418335,204078.13698642663,11504.727972236795,7301.370941231649,29387.04718017578,201116.81666354294,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_34_38_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_dfedpgp
0.5,42,LD_SGD,LD-SGD,seed42_beta0.5_ldsgd,complete,200,22.979999542236328,185,8084.367487299984,2953.4835612412635,11977.429573059082,146114.86859156605,7507.859958734254,2750.222065012354,11173.832061767578,135721.09622618457,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_22_58_29_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.5_ldsgd
