beta,seed,algorithm,metric,sha256,source
0.01,1,AutoRL_DFL_MM,test_acc,b4f7f5d205180e6c777db06dde8a3ab92a3f30e475fad995fbe52fae456d17f3,output/5/0.01/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_autorl_tagseed1_beta0.01_autorl
0.01,1,AutoRL_DFL_MM,time,039d092ad4790e3341badd9ff597daec3f6b183e2bf8c26ca8844dddb2b1efec,output/5/0.01/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_autorl_tagseed1_beta0.01_autorl
0.01,1,AutoRL_DFL_MM,comm,35f1a65f7dc8185101cee073efe8f825dd5cb2531ad139e57a7f0285a29b1489,output/5/0.01/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_autorl_tagseed1_beta0.01_autorl
0.01,1,DFL,test_acc,02d35087e80d92a60e9061e22e869dc7628a8d4a66803e2890023790706fb463,output/5/0.01/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfl
0.01,1,DFL,time,0b39a8c9c1f9263b0f79ff7fd83e8cb41a03d13df1d293370d58f6962edd1b4d,output/5/0.01/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfl
0.01,1,DFL,comm,21f322d02ed8859d48a82f5f92d570c2221c56db8de729e0c01561523122af33,output/5/0.01/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfl
0.01,1,DFL_MM,test_acc,e1cf086e29d33450130df8abde171ecba0d284efb4dd8646793c0a1df625b20b,output/5/0.01/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dflmm
0.01,1,DFL_MM,time,39e2840e750352ef4c633fed90d2b4b97aeed2ef31fa57c16a95789fd41bcb57,output/5/0.01/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dflmm
0.01,1,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.01/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_59_01_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dflmm
0.01,1,DFedPGP,test_acc,0729157911edc08992e50515b1b5ccf29e88c9b0d8e2b8993f5720c23b79893f,output/5/0.01/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_01_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfedpgp
0.01,1,DFedPGP,time,f04077e3c8574e882233594d19141ee700793402573dc8d49512d57293897a58,output/5/0.01/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_01_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfedpgp
0.01,1,DFedPGP,comm,8007e2931c992c8bf6485aba2a461b33c099ac244fb4ef2801624ceb8ca25131,output/5/0.01/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_01_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_dfedpgp
0.01,1,LD_SGD,test_acc,ec76044508461d7f2c75973d16f51fc408e32f75e05fddc1c5d425134321643e,output/5/0.01/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_16_31_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_ldsgd
0.01,1,LD_SGD,time,be785b65da858952043156e5ab78453693d7addf8082b49b429d26562a8318c9,output/5/0.01/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_16_31_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_ldsgd
0.01,1,LD_SGD,comm,f9d60fee0f821994f08b73e289945907f00930dedb8099a4685db559eae520aa,output/5/0.01/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_19_16_31_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.01_ldsgd
0.01,42,AutoRL_DFL_MM,test_acc,1760d0441cc34d5b7dcfac98ca88f36a1bb2082bf9188ba7d8949ab81d1584e5,output/5/0.01/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_35_27_numuser10_clientSelection_autorl_tagseed42_beta0.01_autorl
0.01,42,AutoRL_DFL_MM,time,260e9ec914f962f45c23f69c5c6cb6c71b4e38141bc6afcf13ff399f77fe745a,output/5/0.01/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_35_27_numuser10_clientSelection_autorl_tagseed42_beta0.01_autorl
0.01,42,AutoRL_DFL_MM,comm,be969fb1e3a3bc1e4c3a93b798cff1b67543ef7659689438b6e0ffe17c82fe44,output/5/0.01/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_35_27_numuser10_clientSelection_autorl_tagseed42_beta0.01_autorl
0.01,42,DFL,test_acc,f28e2d0b538d82740bcb9dc047d60b33bb116942756f28a2be32b49a7005135e,output/5/0.01/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_15_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfl
0.01,42,DFL,time,ae92198306f41fbc8a08413ff538cc4d12ff37e3d7483efd753a10475c793419,output/5/0.01/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_15_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfl
0.01,42,DFL,comm,afc2a55422a63f0e831df39726d5aa7f4161f5b2553c84454fcc02759861e8cb,output/5/0.01/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_15_36_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfl
0.01,42,DFL_MM,test_acc,11739caffe61b81efd84191db8af8c7f30a0af6e1e693d690cc1cf4f0080ef63,output/5/0.01/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_01_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dflmm
0.01,42,DFL_MM,time,82fdb0a86699d456950bb10454cbab8e53964afc3161ccc11c297206963e2cba,output/5/0.01/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_01_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dflmm
0.01,42,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.01/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_03_01_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dflmm
0.01,42,DFedPGP,test_acc,c59263cdebecbb0ca52060abee3b8e096a99f11be3ade352895d2c366fafe335,output/5/0.01/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_38_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfedpgp
0.01,42,DFedPGP,time,5d4cce301c91a05bcbfe547fa3bb1627a4d944a412636080fb89b4a013574767,output/5/0.01/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_38_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfedpgp
0.01,42,DFedPGP,comm,f56a1f3c9f3bb1e48efb1dd595be65cc272bd4e5d90aa8139fe25b6dcb8a6ee7,output/5/0.01/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_38_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_dfedpgp
0.01,42,LD_SGD,test_acc,8de9bd4084465d898fbe920d5989884ba4383f27d819773fd0f1916d59608221,output/5/0.01/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_45_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_ldsgd
0.01,42,LD_SGD,time,c49c6bd9d08d7ab50b219f5d121fffb2d9de8d8088066b5f9e6e6793a8778c10,output/5/0.01/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_45_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_ldsgd
0.01,42,LD_SGD,comm,9110ad25db655b16b40d2f3ab1382737409383105ebcd1c9d3bc4b1a37f8820b,output/5/0.01/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_02_45_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.01_ldsgd
0.01,1024,AutoRL_DFL_MM,test_acc,292d4bfa677c1d077b440dc8ea7d244009416e797070462c9a7b8b71063536aa,output/5/0.01/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_48_23_numuser10_clientSelection_autorl_tagseed1024_beta0.01_autorl
0.01,1024,AutoRL_DFL_MM,time,1f31ccfa8a2970a293229daac840015e6f3e3e4da104b365f0ad7a4037b11edb,output/5/0.01/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_48_23_numuser10_clientSelection_autorl_tagseed1024_beta0.01_autorl
0.01,1024,AutoRL_DFL_MM,comm,857438cd5cf842a76607a7dcf4b9ea38760f0891e4a90e0f89d4ac7d68f25ffa,output/5/0.01/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_48_23_numuser10_clientSelection_autorl_tagseed1024_beta0.01_autorl
0.01,1024,DFL,test_acc,c9425ac5751b5702be7111a086ab20c0ff627cfc1af4856ca6ce18382b332283,output/5/0.01/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_06_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfl
0.01,1024,DFL,time,0ba3236470e094d010c394b3c8dfad9b48c291540964bcdc778125c6a673ae4c,output/5/0.01/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_06_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfl
