接收时间,电流,电压,功率因素,有功功率,年用电量,有功电能,无功电能,电源频率,带负载工作时间,仪表地址,日工作小时
21:03:39,0.07267,219.80,0.43188,6.91473,5.04775,29.15225,35.85038,50.04,0846:56:12,1,02
21:03:40,0.07237,219.90,0.43219,6.8924,5.03145,29.15225,35.85038,50.03,0846:56:13,1,02
21:03:41,0.07263,219.80,0.43278,6.9259,5.05591,29.15225,35.85038,50.03,0846:56:14,1,02
21:03:42,0.07256,219.80,0.43222,6.90729,5.04232,29.15226,35.85039,50.04,0846:56:15,1,02
21:03:43,0.07256,219.80,0.43222,6.90729,5.04232,29.15226,35.85039,50.04,0846:56:15,1,02
21:03:44,0.07226,219.90,0.43396,6.91101,5.04504,29.15226,35.85039,50.04,0846:56:16,1,02
21:03:45,0.07195,219.90,0.43499,6.89984,5.03688,29.15226,35.85039,50.03,0846:56:17,1,02
21:03:46,0.072,219.90,0.43385,6.88495,5.02601,29.15226,35.85039,50.03,0846:56:18,1,02
21:03:47,0.0718,220.10,0.43535,6.89426,5.03281,29.15226,35.8504,50.03,0846:56:19,1,02
21:03:48,0.07234,220.00,0.43337,6.91287,5.04639,29.15227,35.8504,50.03,0846:56:20,1,02
21:03:49,0.07173,219.90,0.43395,6.86075,5.00835,29.15227,35.8504,50.03,0846:56:21,1,02
21:03:50,0.07177,219.70,0.43594,6.89053,5.03009,29.15227,35.8504,50.03,0846:56:22,1,02
21:03:51,0.07188,219.80,0.43549,6.89798,5.03552,29.15227,35.85041,50.03,0846:56:23,1,02
21:03:52,0.07177,219.90,0.43598,6.89612,5.03417,29.15227,35.85041,50.03,0846:56:24,1,02
21:03:53,0.07214,219.90,0.43364,6.89612,5.03417,29.15228,35.85041,50.03,0846:56:25,1,02
21:03:54,0.07195,220.00,0.43394,6.88309,5.02465,29.15228,35.85041,50.03,0846:56:26,1,02
21:03:55,0.07237,220.00,0.43222,6.89612,5.03417,29.15228,35.85042,50.03,0846:56:27,1,02
21:03:56,0.07207,219.90,0.43286,6.87564,5.01922,29.15228,35.85042,50.03,0846:56:28,1,02
21:03:57,0.072,219.90,0.4343,6.89053,5.03009,29.15228,35.85042,50.03,0846:56:29,1,02
21:03:58,0.07229,219.90,0.43375,6.90915,5.04368,29.15229,35.85043,50.01,0846:56:31,1,02
21:03:59,0.07234,219.90,0.43334,6.90915,5.04368,29.15229,35.85043,50.01,0846:56:32,1,02
21:04:00,0.07184,220.00,0.43527,6.89612,5.03417,29.15229,35.85043,50.00,0846:56:33,1,02
21:04:01,0.07195,219.90,0.43486,6.89612,5.03417,29.15229,35.85043,50.00,0846:56:34,1,02
21:04:02,0.07207,219.70,0.43373,6.88309,5.02465,29.15229,35.85044,50.01,0846:56:35,1,02
21:04:03,0.07218,219.70,0.4364,6.9352,5.0627,29.1523,35.85044,50.01,0846:56:36,1,02
21:04:04,0.07226,219.50,0.43501,6.91473,5.04775,29.1523,35.85044,50.01,0846:56:37,1,02
21:04:05,0.072,219.50,0.43572,6.9017,5.03824,29.1523,35.85044,50.01,0846:56:38,1,02
21:04:06,0.07274,219.40,0.43241,6.91845,5.05047,29.1523,35.85045,50.01,0846:56:39,1,02
21:04:07,0.07274,219.40,0.43241,6.91845,5.05047,29.1523,35.85045,50.01,0846:56:39,1,02
21:04:08,0.07237,219.50,0.43348,6.9017,5.03824,29.1523,35.85045,50.01,0846:56:40,1,02
21:04:09,0.07229,219.60,0.4367,6.94637,5.07085,29.15231,35.85045,50.00,0846:56:41,1,02
21:04:10,0.07234,219.70,0.4342,6.91473,5.04775,29.15231,35.85045,50.00,0846:56:42,1,02
21:04:11,0.07222,219.60,0.43162,6.86075,5.00835,29.15231,35.85046,50.00,0846:56:43,1,02
21:04:12,0.07301,219.60,0.42991,6.90729,5.04232,29.15231,35.85046,50.00,0846:56:44,1,02
21:04:13,0.07263,219.70,0.43238,6.91473,5.04775,29.15231,35.85046,50.00,0846:56:45,1,02
21:04:14,0.07226,220.40,0.43165,6.88867,5.02873,29.15232,35.85046,50.00,0846:56:46,1,02
21:04:15,0.07214,220.40,0.43274,6.89798,5.03552,29.15232,35.85047,50.00,0846:56:47,1,02
21:04:16,0.07222,220.60,0.43169,6.8924,5.03145,29.15232,35.85047,50.01,0846:56:48,1,02
21:04:17,0.07286,220.60,0.42847,6.9017,5.03824,29.15232,35.85047,50.01,0846:56:49,1,02
21:04:18,0.07241,220.70,0.43073,6.89798,5.03552,29.15232,35.85048,50.00,0846:56:50,1,02
21:04:19,0.07226,220.60,0.43034,6.87564,5.01922,29.15233,35.85048,50.00,0846:56:52,1,02
21:04:20,0.07229,220.70,0.43075,6.88867,5.02873,29.15233,35.85048,50.01,0846:56:53,1,02
21:04:21,0.07218,220.70,0.43074,6.87564,5.01922,29.15233,35.85048,50.01,0846:56:54,1,02
21:04:22,0.0726,220.60,0.42962,6.89612,5.03417,29.15233,35.85049,50.01,0846:56:55,1,02
21:04:23,0.07241,220.70,0.43061,6.89612,5.03417,29.15233,35.85049,50.01,0846:56:56,1,02
21:04:24,0.07226,220.60,0.43148,6.8924,5.03145,29.15234,35.85049,50.03,0846:56:57,1,02
21:04:25,0.07226,220.50,0.43065,6.8775,5.02058,29.15234,35.85049,50.03,0846:56:58,1,02
21:04:26,0.07252,220.50,0.43089,6.90542,5.04096,29.15234,35.8505,50.01,0846:56:59,1,02
21:04:27,0.07234,220.50,0.43035,6.8775,5.02058,29.15234,35.8505,50.01,0846:57:00,1,02
21:04:28,0.07229,220.30,0.43099,6.88123,5.0233,29.15234,35.8505,50.04,0846:57:01,1,02
21:04:29,0.07237,220.50,0.43158,6.90356,5.0396,29.15235,35.8505,50.04,0846:57:02,1,02
21:04:30,0.07274,220.60,0.43079,6.92776,5.05726,29.15235,35.85051,50.04,0846:57:03,1,02
21:04:31,0.07274,220.60,0.43079,6.92776,5.05726,29.15235,35.85051,50.04,0846:57:03,1,02
21:04:32,0.07286,220.60,0.42895,6.91101,5.04504,29.15235,35.85051,50.04,0846:57:04,1,02
21:04:33,0.07319,220.50,0.43015,6.95754,5.079,29.15235,35.85051,50.05,0846:57:05,1,02
21:04:34,0.07274,220.50,0.42983,6.90915,5.04368,29.15235,35.85051,50.05,0846:57:06,1,02
