接收时间,电流,电压,功率因素,有功功率,年用电量,有功电能,无功电能,电源频率,带负载工作时间,仪表地址,日工作小时
14:16:42,0.07444,214.90,0.42885,6.8775,5.02058,29.27422,36.01097,50.01,0864:09:28,1,02
14:16:43,0.0747,214.80,0.43137,6.93707,5.06406,29.27422,36.01097,50.01,0864:09:29,1,02
14:16:44,0.07437,214.90,0.43006,6.89053,5.03009,29.27422,36.01097,50.00,0864:09:30,1,02
14:16:45,0.07451,215.00,0.43057,6.91473,5.04775,29.27422,36.01099,50.00,0864:09:31,1,02
14:16:46,0.07462,214.90,0.43214,6.94637,5.07085,29.27422,36.01099,50.01,0864:09:32,1,02
14:16:47,0.07422,214.90,0.43118,6.8924,5.03145,29.27423,36.01099,50.01,0864:09:33,1,02
14:16:48,0.07459,214.90,0.43049,6.91659,5.04911,29.27423,36.01099,50.03,0864:09:34,1,02
14:16:49,0.0743,214.90,0.4315,6.90542,5.04096,29.27423,36.01099,50.03,0864:09:35,1,02
14:16:50,0.07397,215.00,0.43239,6.8924,5.03145,29.27423,36.01099,50.01,0864:09:36,1,02
14:16:51,0.07404,215.00,0.43187,6.89053,5.03009,29.27423,36.01099,50.01,0864:09:37,1,02
14:16:52,0.07404,215.10,0.4306,6.87192,5.0165,29.27424,36.01099,50.01,0864:09:38,1,02
14:16:53,0.0743,215.00,0.43304,6.93334,5.06134,29.27424,36.01101,50.03,0864:09:39,1,02
14:16:54,0.07408,215.00,0.43144,6.88681,5.02737,29.27424,36.01101,50.03,0864:09:40,1,02
14:16:55,0.07415,214.90,0.43218,6.90356,5.0396,29.27424,36.01101,50.03,0864:09:41,1,02
14:16:56,0.07422,214.90,0.43132,6.89612,5.03417,29.27424,36.01102,50.03,0864:09:42,1,02
14:16:57,0.07419,214.90,0.43278,6.91473,5.04775,29.27425,36.01102,50.03,0864:09:43,1,02
14:16:58,0.07422,215.00,0.43168,6.90356,5.0396,29.27425,36.01102,50.03,0864:09:44,1,02
14:16:59,0.07433,214.90,0.42942,6.87378,5.01786,29.27425,36.01102,50.03,0864:09:45,1,02
14:17:00,0.0743,214.80,0.43098,6.8924,5.03145,29.27425,36.01102,50.03,0864:09:47,1,02
14:17:01,0.07415,215.00,0.43057,6.87937,5.02194,29.27425,36.01102,50.01,0864:09:48,1,02
14:17:02,0.07419,215.00,0.43037,6.87937,5.02194,29.27426,36.01102,50.01,0864:09:49,1,02
14:17:03,0.07419,215.00,0.43037,6.87937,5.02194,29.27426,36.01102,50.01,0864:09:49,1,02
14:17:04,0.07509,215.00,0.43293,7.00407,5.11297,29.27426,36.01102,50.01,0864:09:50,1,02
14:17:05,0.07419,215.00,0.43073,6.88681,5.02737,29.27426,36.01104,50.01,0864:09:51,1,02
14:17:06,0.07408,215.20,0.43079,6.88123,5.0233,29.27426,36.01104,50.01,0864:09:52,1,02
14:17:07,0.07433,215.10,0.42973,6.88681,5.02737,29.27426,36.01104,50.01,0864:09:53,1,02
14:17:08,0.0743,215.00,0.43048,6.8924,5.03145,29.27427,36.01104,50.01,0864:09:54,1,02
14:17:09,0.07451,215.00,0.43115,6.92404,5.05455,29.27427,36.01105,50.01,0864:09:55,1,02
14:17:10,0.07415,215.00,0.42975,6.86634,5.01243,29.27427,36.01105,50.00,0864:09:56,1,02
14:17:11,0.07412,214.90,0.43075,6.8775,5.02058,29.27427,36.01105,50.00,0864:09:57,1,02
14:17:12,0.07448,215.00,0.43134,6.92218,5.05319,29.27427,36.01105,50.01,0864:09:58,1,02
14:17:13,0.07433,215.00,0.42992,6.88495,5.02601,29.27428,36.01105,50.01,0864:09:59,1,02
14:17:14,0.07382,214.70,0.43264,6.87378,5.01786,29.27428,36.01105,50.01,0864:10:00,1,02
14:17:15,0.07397,214.50,0.43409,6.9017,5.03824,29.27428,36.01105,50.00,0864:10:01,1,02
14:17:16,0.07441,214.40,0.43118,6.8924,5.03145,29.27428,36.01107,50.00,0864:10:02,1,02
14:17:17,0.07422,214.30,0.43192,6.88495,5.02601,29.27428,36.01107,50.00,0864:10:03,1,02
14:17:18,0.07422,214.20,0.43238,6.89053,5.03009,29.27429,36.01107,50.00,0864:10:04,1,02
14:17:19,0.07415,214.20,0.4336,6.90356,5.0396,29.27429,36.01107,50.00,0864:10:05,1,02
14:17:20,0.07412,214.40,0.43268,6.89053,5.03009,29.27429,36.01107,50.00,0864:10:06,1,02
14:17:21,0.07477,214.40,0.43059,6.91659,5.04911,29.27429,36.01107,49.99,0864:10:08,1,02
14:17:22,0.07433,214.40,0.42997,6.8682,5.01378,29.27429,36.01107,49.99,0864:10:09,1,02
14:17:23,0.07492,214.30,0.42806,6.88867,5.02873,29.2743,36.01107,50.00,0864:10:10,1,02
14:17:24,0.07509,214.30,0.42696,6.88681,5.02737,29.2743,36.01109,50.00,0864:10:11,1,02
14:17:25,0.07484,214.30,0.42807,6.87937,5.02194,29.2743,36.01109,49.99,0864:10:12,1,02
14:17:26,0.07466,214.30,0.43152,6.92031,5.05183,29.2743,36.01109,49.99,0864:10:13,1,02
14:17:27,0.07466,214.30,0.43152,6.92031,5.05183,29.2743,36.01109,49.99,0864:10:13,1,02
14:17:28,0.07422,214.50,0.43152,6.88495,5.02601,29.2743,36.0111,49.99,0864:10:14,1,02
14:17:29,0.07433,214.40,0.43232,6.90729,5.04232,29.27431,36.0111,49.99,0864:10:15,1,02
14:17:30,0.07567,214.30,0.43266,7.03199,5.13336,29.27431,36.0111,50.00,0864:10:16,1,02
14:17:31,0.08932,214.40,0.44248,8.49125,6.19861,29.27431,36.0111,50.00,0864:10:17,1,02
14:17:32,0.0994,214.40,0.45862,9.79788,7.15246,29.27431,36.0111,49.98,0864:10:18,1,02
14:17:33,0.09466,214.60,0.45465,9.25625,6.75706,29.27432,36.0111,49.98,0864:10:19,1,02
14:17:34,0.07535,214.70,0.43205,7.00593,5.11433,29.27432,36.0111,49.99,0864:10:20,1,02
14:17:35,0.07632,214.70,0.43383,7.12692,5.20265,29.27432,36.01112,49.99,0864:10:21,1,02
14:17:36,0.07578,214.80,0.43142,7.03758,5.13743,29.27432,36.01112,49.99,0864:10:22,1,02
14:17:37,0.07535,214.70,0.43261,7.01338,5.11977,29.27432,36.01112,49.99,0864:10:23,1,02
14:17:38,0.07426,214.60,0.43138,6.8924,5.03145,29.27433,36.01112,49.99,0864:10:24,1,02
14:17:39,0.07422,214.70,0.4324,6.90542,5.04096,29.27433,36.01113,49.99,0864:10:25,1,02
14:17:40,0.07484,214.70,0.43237,6.96126,5.08172,29.27433,36.01113,49.99,0864:10:26,1,02
14:17:41,0.07437,214.70,0.4302,6.88309,5.02465,29.27433,36.01113,49.98,0864:10:28,1,02
14:17:42,0.0743,214.70,0.43166,6.9017,5.03824,29.27433,36.01113,49.98,0864:10:29,1,02
14:17:43,0.07422,214.80,0.43233,6.90915,5.04368,29.27434,36.01114,50.00,0864:10:30,1,02
14:17:44,0.07412,214.90,0.43179,6.8924,5.03145,29.27434,36.01114,50.00,0864:10:31,1,02
14:17:45,0.07466,214.90,0.43206,6.94823,5.07221,29.27434,36.01114,49.99,0864:10:32,1,02
14:17:46,0.07462,214.80,0.4298,6.90542,5.04096,29.27434,36.01114,49.99,0864:10:33,1,02
14:17:47,0.07415,214.90,0.43252,6.90729,5.04232,29.27434,36.01115,50.00,0864:10:34,1,02
14:17:48,0.07426,214.90,0.43133,6.89798,5.03552,29.27435,36.01115,50.00,0864:10:35,1,02
14:17:49,0.07397,214.80,0.43221,6.88309,5.02465,29.27435,36.01115,50.00,0864:10:36,1,02
14:17:50,0.07441,214.90,0.4325,6.92962,5.05862,29.27435,36.01115,50.00,0864:10:37,1,02
14:17:51,0.07441,214.90,0.4325,6.92962,5.05862,29.27435,36.01115,50.00,0864:10:37,1,02
14:17:52,0.07415,214.90,0.43112,6.88495,5.02601,29.27435,36.01115,50.00,0864:10:38,1,02
14:17:53,0.07408,214.90,0.43292,6.90729,5.04232,29.27435,36.01115,50.00,0864:10:39,1,02
14:17:54,0.07437,214.80,0.42968,6.88123,5.0233,29.27436,36.01115,50.00,0864:10:40,1,02
14:17:55,0.07415,214.80,0.43144,6.88681,5.02737,29.27436,36.01117,50.00,0864:10:41,1,02
14:17:56,0.07448,214.70,0.43068,6.90356,5.0396,29.27436,36.01117,50.00,0864:10:42,1,02
14:17:57,0.07437,214.70,0.43196,6.91287,5.04639,29.27436,36.01117,50.01,0864:10:43,1,02
14:17:58,0.0748,214.80,0.43156,6.94823,5.07221,29.27436,36.01117,50.01,0864:10:44,1,02
