clients,dataset,dataset_label,method,method_label,best_acc,source_file
10,cifar10,CIFAR-10,AutoRL_DFL_MM,RTDFL,42.59166653951009,"mean_seeds=1,42,1024; logs/cifar10_missing_autorl_dflmm_20260526_102500/summary_final/summary_runs.csv"
10,cifar100,CIFAR-100,AutoRL_DFL_MM,RTDFL,41.87000020345052,"mean_seeds=1,42,1024; logs/result_summaries/cifar100_detail_latest.csv"
10,TinyImagenet,Tiny-ImageNet,AutoRL_DFL_MM,RTDFL,24.536666870117188,"mean_seeds=1,42,1024; logs/tinyimagenet_baselines_20260524_151827/summary_without_dfedsam/summary_runs.csv"
10,cifar10,CIFAR-10,DFL_MM,MMDFL,39.31500053405762,"mean_seeds=1,42,1024; logs/cifar10_missing_autorl_dflmm_20260526_102500/summary_final/summary_runs.csv"
10,cifar100,CIFAR-100,DFL_MM,MMDFL,33.7533327738444,"mean_seeds=1,42,1024; logs/result_summaries/cifar100_detail_latest.csv"
10,TinyImagenet,Tiny-ImageNet,DFL_MM,MMDFL,20.711666742960613,"mean_seeds=1,42,1024; logs/tinyimagenet_baselines_20260524_151827/summary_without_dfedsam/summary_runs.csv"
10,cifar10,CIFAR-10,DFL,DFL,35.56000010172526,"mean_seeds=1,42,1024; logs/cifar10_baselines_20260525_143543/summary_final/summary_runs.csv"
10,cifar100,CIFAR-100,DFL,DFL,18.417666657765707,"mean_seeds=1,42,1024; logs/result_summaries/cifar100_detail_latest.csv"
10,TinyImagenet,Tiny-ImageNet,DFL,DFL,21.913333574930828,"mean_seeds=1,42,1024; logs/tinyimagenet_baselines_20260524_151827/summary_without_dfedsam/summary_runs.csv"
10,cifar10,CIFAR-10,DFedPGP,DFedPGP,27.366666793823242,"mean_seeds=1,42,1024; logs/cifar10_baselines_20260525_143543/summary_final/summary_runs.csv"
10,cifar100,CIFAR-100,DFedPGP,DFedPGP,15.025000063578288,"mean_seeds=1,42,1024; logs/result_summaries/cifar100_detail_latest.csv"
10,TinyImagenet,Tiny-ImageNet,DFedPGP,DFedPGP,11.739999930063883,"mean_seeds=1,42,1024; logs/tinyimagenet_baselines_20260524_151827/summary_without_dfedsam/summary_runs.csv"
10,cifar10,CIFAR-10,LD_SGD,LD-SGD,33.548333485921226,"mean_seeds=1,42,1024; logs/cifar10_baselines_20260525_143543/summary_final/summary_runs.csv"
10,cifar100,CIFAR-100,LD_SGD,LD-SGD,14.654666646321616,"mean_seeds=1,42,1024; logs/result_summaries/cifar100_detail_latest.csv"
10,TinyImagenet,Tiny-ImageNet,LD_SGD,LD-SGD,14.989999930063883,"mean_seeds=1,42,1024; logs/tinyimagenet_baselines_20260524_151827/summary_without_dfedsam/summary_runs.csv"
30,cifar10,CIFAR-10,AutoRL_DFL_MM,RTDFL,31.74333318074544,logs/result_summaries/scalability_seed1_detail.csv
30,cifar100,CIFAR-100,AutoRL_DFL_MM,RTDFL,28.37833309173584,logs/result_summaries/scalability_seed1_detail.csv
30,TinyImagenet,Tiny-ImageNet,AutoRL_DFL_MM,RTDFL,18.388333002726238,logs/result_summaries/scalability_seed1_detail.csv
30,cifar10,CIFAR-10,DFL_MM,MMDFL,27.881666501363117,logs/result_summaries/scalability_seed1_detail.csv
30,cifar100,CIFAR-100,DFL_MM,MMDFL,22.868333498636883,logs/result_summaries/scalability_seed1_detail.csv
30,TinyImagenet,Tiny-ImageNet,DFL_MM,MMDFL,15.548333168029785,logs/result_summaries/scalability_seed1_detail.csv
30,cifar10,CIFAR-10,DFL,DFL,22.14999993642171,logs/result_summaries/scalability_seed1_detail.csv
30,cifar100,CIFAR-100,DFL,DFL,10.429999987284342,logs/result_summaries/scalability_seed1_detail.csv
30,TinyImagenet,Tiny-ImageNet,DFL,DFL,11.128333250681559,logs/result_summaries/scalability_seed1_detail.csv
30,cifar10,CIFAR-10,DFedPGP,DFedPGP,19.946666558583576,logs/result_summaries/scalability_seed1_detail.csv
30,cifar100,CIFAR-100,DFedPGP,DFedPGP,9.047000122070312,logs/result_summaries/scalability_seed1_detail.csv
30,TinyImagenet,Tiny-ImageNet,DFedPGP,DFedPGP,5.880000034968059,logs/result_summaries/scalability_seed1_detail.csv
30,cifar10,CIFAR-10,LD_SGD,LD-SGD,21.895000139872234,logs/result_summaries/scalability_seed1_detail.csv
